type, name, country, latitude, longitude, elevation, population
city, Brooklyn, US, 40.6501, -73.94958, 18, 2300664
city, Buffalo, US, 42.88645, -78.87837, 191, 261310
city, East New York, US, 40.66677, -73.88236, 8, 173198
city, Jamaica, US, 40.69149, -73.80569, 12, 216866
city, Manhattan, US, 40.78343, -73.96625, 38, 1487536
city, New York City, US, 40.71427, -74.00597, 57, 8175133
city, Borough of Queens, US, 40.68149, -73.83652, 13, 2272771
city, Rochester, US, 43.15478, -77.61556, 156, 210565
city, Staten Island, US, 40.56233, -74.13986, 23, 468730
city, Syracuse, US, 43.04812, -76.14742, 129, 145170
city, Yonkers, US, 40.93121, -73.89875, 33, 195976
city, Akron, US, 41.08144, -81.51901, 295, 199110
city, Cleveland, US, 41.4995, -81.69541, 204, 396815
city, Toledo, US, 41.66394, -83.55521, 189, 287208
city, Allentown, US, 40.60843, -75.49018, 107, 118032
city, Erie, US, 42.12922, -80.08506, 201, 101786
city, Pittsburgh, US, 40.44062, -79.99589, 239, 305704
city, Providence, US, 41.82399, -71.41283, -17, 178042
city, Sioux Falls, US, 43.54997, -96.70033, 449, 153888
city, Green Bay, US, 44.51916, -88.01983, 182, 104057
city, Madison, US, 43.07305, -89.40123, 272, 233209
city, Milwaukee, US, 43.0389, -87.90647, 203, 594833
city, Bridgeport, US, 41.16704, -73.20483, 5, 144229
city, Chandler, US, 33.30616, -111.84125, 368, 236123
city, Gilbert, US, 33.35283, -111.78903, 377, 208453
city, Glendale, US, 33.53865, -112.18599, 350, 226721
city, Mesa, US, 33.42227, -111.82264, 380, 439041
city, Peoria, US, 33.5806, -112.23738, 347, 154065
city, Phoenix, US, 33.44838, -112.07404, 366, 1445632
city, Scottsdale, US, 33.50921, -111.89903, 382, 217385
city, Surprise, US, 33.63059, -112.33322, 357, 117517
city, Tempe, US, 33.41477, -111.90931, 360, 161719
city, Tempe Junction, US, 33.41421, -111.94348, 352, 158368
city, Tucson, US, 32.22174, -110.92648, 757, 520116
city, Anaheim, US, 33.83529, -117.9145, 55, 336265
city, Antioch, US, 38.00492, -121.80579, 13, 102372
city, Bakersfield, US, 35.37329, -119.01871, 130, 347483
city, Berkeley, US, 37.87159, -122.27275, 55, 112580
city, Burbank, US, 34.18084, -118.30897, 192, 103340
city, Carlsbad, US, 33.15809, -117.35059, 18, 105328
city, Chula Vista, US, 32.64005, -117.0842, 21, 243916
city, Concord, US, 37.97798, -122.03107, 25, 122067
city, Corona, US, 33.87529, -117.56644, 213, 152374
city, Costa Mesa, US, 33.64113, -117.91867, 33, 109960
city, Daly City, US, 37.70577, -122.46192, 123, 101123
city, Downey, US, 33.94001, -118.13257, 41, 111772
city, East Los Angeles, US, 34.0239, -118.17202, 63, 126496
city, El Monte, US, 34.06862, -118.02757, 91, 113475
city, Elk Grove, US, 38.4088, -121.37162, 17, 153015
city, Escondido, US, 33.11921, -117.08642, 199, 143911
city, Fairfield, US, 38.24936, -122.03997, 4, 105321
city, Fontana, US, 34.09223, -117.43505, 378, 196069
city, Fremont, US, 37.54827, -121.98857, 18, 214089
city, Fresno, US, 36.74773, -119.77237, 99, 494665
city, Fullerton, US, 33.87029, -117.92534, 52, 135161
city, Garden Grove, US, 33.77391, -117.94145, 26, 170883
city, Glendale, US, 34.14251, -118.25508, 161, 191719
city, Hayward, US, 37.66882, -122.0808, 32, 144186
city, Hollywood, US, 34.09834, -118.32674, 113, 167664
city, Huntington Beach, US, 33.6603, -117.99923, 16, 189992
city, Inglewood, US, 33.96168, -118.35313, 44, 109673
city, Irvine, US, 33.66946, -117.82311, 22, 212375
city, Lancaster, US, 34.69804, -118.13674, 718, 156633
city, Long Beach, US, 33.76696, -118.18923, 24, 462257
city, Los Angeles, US, 34.05223, -118.24368, 96, 3792621
city, Modesto, US, 37.6391, -120.99688, 29, 201165
city, Moreno Valley, US, 33.93752, -117.23059, 499, 193365
city, Murrieta, US, 33.55391, -117.21392, 336, 103466
city, North Glendale, US, 34.16056, -118.26452, 168, 203201
city, Norwalk, US, 33.90224, -118.08173, 29, 105549
city, Oakland, US, 37.80437, -122.2708, 24, 390724
city, Oceanside, US, 33.19587, -117.37948, 24, 167086
city, Ontario, US, 34.06334, -117.65089, 307, 163924
city, Orange, US, 33.78779, -117.85311, 61, 136416
city, Oxnard, US, 34.1975, -119.17705, 19, 197899
city, Oxnard Shores, US, 34.19084, -119.2415, 7, 187235
city, Palmdale, US, 34.57943, -118.11646, 815, 152750
city, Pasadena, US, 34.14778, -118.14452, 272, 137122
city, Pomona, US, 34.05529, -117.75228, 264, 149058
city, Rancho Cucamonga, US, 34.1064, -117.59311, 371, 165269
city, Richmond, US, 37.93576, -122.34775, 12, 103701
city, Riverside, US, 33.95335, -117.39616, 257, 303871
city, Roseville, US, 38.75212, -121.28801, 51, 118788
city, Sacramento, US, 38.58157, -121.4944, 14, 466488
city, Salinas, US, 36.67774, -121.6555, 17, 150441
city, San Bernardino, US, 34.10834, -117.28977, 324, 209924
city, San Diego, US, 32.71533, -117.15726, 31, 1307402
city, San Francisco, US, 37.77493, -122.41942, 28, 805235
city, San Jose, US, 37.33939, -121.89496, 23, 945942
city, Santa Ana, US, 33.74557, -117.86783, 39, 324528
city, Santa Clara, US, 37.35411, -121.95524, 22, 116468
city, Santa Clarita, US, 34.39166, -118.54259, 368, 176320
city, Santa Rosa, US, 38.44047, -122.71443, 55, 167815
city, Simi Valley, US, 34.26945, -118.78148, 236, 124237
city, Stockton, US, 37.9577, -121.29078, 6, 291707
city, Sunnyvale, US, 37.36883, -122.03635, 37, 140081
city, Temecula, US, 33.49364, -117.14836, 308, 100097
city, Thousand Oaks, US, 34.17056, -118.83759, 274, 126683
city, Torrance, US, 33.83585, -118.34063, 33, 145438
city, Universal City, US, 34.1389, -118.35341, 234, 105000
city, Valencia, US, 34.44361, -118.60953, 312, 148456
city, Vallejo, US, 38.10409, -122.25664, 22, 115942
city, Van Nuys, US, 34.18667, -118.44897, 220, 136443
city, Victorville, US, 34.53611, -117.29116, 834, 115903
city, Visalia, US, 36.33023, -119.29206, 110, 124442
city, West Covina, US, 34.06862, -117.93895, 120, 106098
city, Arvada, US, 39.80276, -105.08748, 1637, 106433
city, Aurora, US, 39.72943, -104.83192, 1651, 325078
city, Centennial, US, 39.57916, -104.87692, 1781, 100377
city, Colorado Springs, US, 38.83388, -104.82136, 1838, 416427
city, Denver, US, 39.73915, -104.9847, 1636, 600158
city, Lakewood, US, 39.70471, -105.08137, 1682, 142980
city, Pueblo, US, 38.25445, -104.60914, 1430, 106595
city, Thornton, US, 39.86804, -104.97192, 1635, 118772
city, Westminster, US, 39.83665, -105.0372, 1644, 106114
city, Albuquerque, US, 35.08449, -106.65114, 1513, 545852
city, Enterprise, US, 36.02525, -115.24194, 779, 108481
city, Henderson, US, 36.0397, -114.98194, 572, 257729
city, Las Vegas, US, 36.17497, -115.13722, 613, 583756
city, North Las Vegas, US, 36.19886, -115.1175, 570, 216961
city, Paradise, US, 36.09719, -115.14666, 629, 223167
city, Reno, US, 39.52963, -119.8138, 1380, 225221
city, Spring Valley, US, 36.10803, -115.245, 723, 178395
city, Sunrise Manor, US, 36.21108, -115.07306, 561, 189372
city, Amarillo, US, 35.222, -101.8313, 1124, 190695
city, El Paso, US, 31.75872, -106.48693, 1137, 649121
city, Lubbock, US, 33.57786, -101.85517, 979, 229573
city, Midland, US, 31.99735, -102.07791, 862, 111147
city, Fort Collins, US, 40.58526, -105.08442, 1531, 143986
city, Boise, US, 43.6135, -116.20345, 834, 145987
city, Billings, US, 45.78329, -108.50069, 954, 104170
city, Eugene, US, 44.05207, -123.08675, 132, 156185
city, Gresham, US, 45.49818, -122.43148, 96, 105594
city, Portland, US, 45.52345, -122.67621, 15, 583776
city, Salem, US, 44.9429, -123.0351, 55, 154637
city, Provo, US, 40.23384, -111.65853, 1394, 112488
city, Salt Lake City, US, 40.76078, -111.89105, 1311, 186440
city, West Jordan, US, 40.60967, -111.9391, 1338, 103712
city, West Valley City, US, 40.69161, -112.00105, 1316, 129480
city, Bellevue, US, 47.61038, -122.20068, 28, 122363
city, Everett, US, 47.97898, -122.20208, 22, 103019
city, Seattle, US, 47.60621, -122.33207, 56, 608660
city, Spokane, US, 47.65966, -117.42908, 530, 208916
city, Tacoma, US, 47.25288, -122.44429, 74, 198397
city, Vancouver, US, 45.63873, -122.66149, 57, 161791
