name,iata,type,latitude,longitude
Indianapolis Int'l,IND,major,39.730204370396905,-86.27340036508855
Nauru Int'l,INU,mid,-0.5450372268563837,166.91613965881993
Mataveri Int'l,IPC,mid,-27.158773838853794,-109.4300644100096
Gob. Horacio Guzman Int'l,JUJ,mid,-24.386101077584634,-65.09376654588122
Nanchang Changbei Int'l,KHN,mid,28.862489120066552,115.91197991860221
Kunming Wujiaba Int'l,KMG,major,24.99999611008102,102.74211757882347
Leeds Bradford,LBA,major,53.86908194744343,-1.6598310673474594
Libreville Leon M'ba Int'l,LBV,mid,0.4571392295037592,9.410223378207123
Lome Tokoin,LFW,mid,6.16687362722297,1.25093205640014
Lviv Danylo Halytskyi Int'l,LWO,mid and military,49.817850605000466,23.946126959894446
Marshall Islands Int'l,MAJ,mid,7.0681184855709125,171.28191937064796
Macau Int'l,MFM,major,22.15765725296336,113.57451294861951
Aden Adde Int'l,MGQ,mid,2.016353112149878,45.30363741862018
Maputo Int'l,MPM,mid,-25.924276711787034,32.57419151947824
Sir Seewoosagur Ramgoolam Int'l,MRU,mid,-20.431756779321564,57.67698600766355
Naples Int'l,NAP,major,40.87807288436389,14.282844434020328
Nouadhibou Int'l,NDB,mid,20.92905230643873,-17.03343986915384
Ningbo Lishe Int'l,NGB,major,29.820823190686056,121.46181938848366
Nouakchott Int'l,NKC,mid,18.09792317181745,-15.95192592522014
La Tontouta Int'l,NOU,mid,-22.013638624898107,166.21723211869872
Oakland Int'l,OAK,major,37.71230369516912,-122.21326125786332
Ontario Int'l,ONT,major,34.06019110206596,-117.5923276516506
Cork,ORK,major,51.84854054199235,-8.490141999838173
Minangkabau Int'l,PDG,mid,-0.7860457140262733,100.28545585179133
Joao Paulo II,PDL,mid,37.743331647293275,-25.696988219871116
Bacha Khan Int'l,PEW,mid,33.99140278895964,71.51881499126668
Glasgow Prestwick,PIK,mid,55.50889181051421,-4.610971639010682
Ponta Pora Int'l,PMG,mid,-22.551786560876014,-55.70607937485728
Palmerston N. Int'l,PMR,mid,-40.32331788520548,175.62128328195985
Pohnpei Int'l,PNI,mid,6.981306765121233,158.2033044909644
Tahiti Faa'a Int'l,PPT,mid,-17.55945776599425,-149.60975793242872
Pisa Galileo Galilei Int'l,PSA,major and military,43.69832241576641,10.400134371805603
Port Sudan,PZU,mid and military,19.576063653196776,37.216065757541976
