name,latitude,longitude
Bora-Bora,-16.51666667,-151.75
Tulcea,45.19111111,28.81684335
Amderma,69.75611111,61.55918728
Anadyr,64.74416667,177.5386337
Pevek,69.70166667,170.2770907
Kaolack,14.12944444,-16.07196702
Ziguinchor,12.58972222,-16.26808009
Longyearbyen,78.22611111,15.6237338
Gizo,-8.101388889,156.8388104
Viru Harbour,-8.499722222,157.7260306
Kismayu,-0.374166667,42.54110718
Karlstad,59.37527778,13.52020024
Lidkoping,58.50916667,13.15936396
Skelleftea,64.67833333,21.25176678
Umea,63.81666667,20.26772674
Providenciales,21.76277778,-72.25600707
Songkhla,7.228611111,100.5696702
Bandirma,40.35416667,27.95724382
Samsun,41.29972222,36.34040047
Sinop,42.02333333,35.14287397
Trabzon,41.00555556,39.73651355
Sevastopol,44.61888889,33.54146054
Skagway,59.45083333,-135.3223204
Valdez,61.10361111,-146.3570671
Apalachicola,29.7275,-84.98669022
Annapolis,38.965,-76.47426384
Cambridge,38.57416667,-76.07108363
Portland,45.60583333,-122.7836867
Bremerton,47.5625,-122.6377503
Rockland,44.10305556,-69.10212014
Santa Cruz,36.96638889,-122.0014134
Chesapeake,36.7225,-76.23951708
Cumana,10.47416667,-64.18775029
Hai Phong,20.86722222,106.6751472
Corfu,39.621950140387334,19.910572060487087
Alexandria,31.334923292880035,30.16765718634613
Tangier,35.79611353569427,-5.824954241841614
Hamilton,43.25,-79.85
Windsor,42.31,-83.03
Rouge River,42.28,-83.11
Owen Sound,44.58,-80.93
Sault Ste Marie,46.51,-84.35
Saginaw,43.43,-83.93
Cheboygan,45.65,-84.46
Sault Ste Marie,46.5,-84.35
Muskegon,43.23,-86.26
Gary,41.61,-87.33
Waukegan,42.36,-87.81
Houghton,47.11,-88.56
Wrangell,56.46,-132.38
Petersburg,56.81,-132.95
Kemi,65.73,24.56
Vaasa,63.1,21.58
Turku,60.45,22.23
Liepaja,56.51,21.01
Europoort,51.95,4.11
Stornoway Harbor,58.18,-6.36
Lisboa,38.7,-9.16
Bonanza,36.8,-6.33
Ibiza,38.9,1.45
Rostov-Na-Donu,47.16,39.71
Tel Aviv Yafo,32.06,34.76
Tunis,36.8,10.25
Bejaia,36.75,5.08
Alger,36.76,3.06
St Louis,16.01,-16.51
Tin Can Island,6.41,3.3
Mocambique,-15.03,40.73
Assab,13.0,42.75
Massawa,15.61,39.46
Elat,29.55,34.95
Al Kuwayt,29.38,47.96
Bombay,18.83,72.83
Jawaharlal Nehru Port,18.95,72.93
Cochin,9.96,76.23
Madras,13.1,80.3
Calcutta,22.55,88.31
Phuket,7.83,98.4
Pulau Pinang,5.41,100.35
Belawan,3.78,98.68
Semarang,-6.95,110.41
Kupang,-10.16,123.58
Kuching,1.56,110.35
Miri,4.38,113.96
Kota Kinabalu,5.98,116.06
Pelabuhan Sandakan,5.83,118.11
Ujungpandang,-5.13,119.4
Davao,7.06,125.61
Nanjing,32.08,118.75
Hankow,30.58,114.28
Chang Sha,28.2,112.98
Khabarovsk,48.5,135.16
Petropavlovsk,53.05,158.65
Namibe,-15.19361111,12.13545347
Bahia Blanca,-38.79138889,-62.27090695
La Plata,-34.85527778,-57.89022379
Ushuaia,-54.80944444,-68.30088339
Puerto Madryn,-42.73611111,-65.03333333
Pago Pago,-14.27416667,-170.687927
Mackay,-21.10833333,149.2237338
Port Lincoln,-34.71833333,135.8694935
Port Pirie,-33.17694444,138.0072438
Albany,-35.03166667,117.8866902
Barrow Island,-20.72583333,115.4709069
Bunbury,-33.31527778,115.6512367
Burnie,-41.05277778,145.9081272
Geelong,-38.12666667,144.3873969
Gladstone,-23.83,151.2517668
Newcastle,-32.9075,151.7691402
Port Kembla,-34.4625,150.8935807
Portland,-38.34916667,141.609364
Thursday Island,-10.58555556,142.2189635
