name,elevation,latitude,longitude
Zard Kuh,4200,32.36500000,50.07750000
Montaña de Santa Barbara,2744,14.91333333,-88.11416667
Parbati Parbat,6633,32.08916667,77.73333333
Lamo-She,6070,29.94916667,102.05000000
Cordillera Castillo,2675,-46.06500000,-72.20750000
Mt. Assiniboine,3616,50.87000000,-115.65000000
Nevado Auzangate,6372,-13.79083333,-71.23250000
Mt. Mantaling,2085,8.81833333,117.67500000
Kuh-e Fareghan,3240,27.88666667,56.34750000
Oldoinyo Lesatima,4001,-0.31166667,36.61416667
Montaña de Celaque,2849,14.53416667,-88.68000000
Phu Bia,2830,18.98083333,103.15166667
Mt. Jancowski,2729,56.33722222,-129.98166667
Nevado Cayembe,5790,0.02500000,-77.98916667
Dunheger,3315,45.19250000,90.90666667
Cerro Altar,5319,-1.66333333,-78.40916667
Cerro Pircas,4380,-31.70750000,-69.15666667
Cord. Vilcababna Norte HP,4150,-12.37583333,-73.61750000
Opala V.,2460,52.54333333,157.33916667
Payers Tinde,2320,73.13333333,-26.36666667
Pontan,2798,-22.42833333,-44.84333333
Cerro Maca,2300,-45.10583333,-73.16916667
Chomolhari,7050,27.82416667,89.26916667
Monte Viso,3841,44.66750000,7.09083333
Chamar,7165,28.55333333,84.94500000
Amba Farit,4270,10.95166667,39.10333333
Mt. Drum,3661,62.11583333,-144.64000000
Nevado Sara Sara,5505,-15.33000000,-73.44750000
Queen Mary/s Peak,2060,-37.11111111,-12.28833333
Medetsiz Tepe,3524,37.39416667,34.63166667
Gora Georgia Pobedonosca,2896,-69.00000000,71.00000000
Xuebao Ding,5588,32.67583333,103.84666667
Gladsheim Peak,2830,49.78333333,-117.62666667
Nakanai Mtns. HP,2316,-5.18666667,151.83500000
Mt. Murphy,2705,-75.33333333,-110.73333333
Chu Yang Sin,2420,12.40583333,108.42416667
Gunung Tumpu,2565,-1.06583333,122.19166667
Triglav,2864,46.37805556,13.83694444
Mt. Hanang,3420,-4.43500000,35.40000000
Sibuyan Island HP,2050,12.41666667,122.56916667
Varful Moldoveanu,2544,45.60000000,24.73777778
Barre des Écrins,4102,44.92250000,6.36000000
Mt. Dawson,3377,51.15138889,-117.42055556
Ellesmere Peak,2347,78.80000000,-79.53250000
Daxue Shan,3500,24.11166667,99.64000000
Api,7132,30.00666667,80.92916667
Loolmalassin,3682,-3.05000000,35.81916667
Monte Sarmiento,2187,-54.45000000,-70.84000000
Pakhnes,2453,35.29250000,24.03333333
Maja e Jezercës,2694,42.44250000,19.81416667
Pauhunri,7128,27.95333333,88.84250000
Nevado del Ruiz,5300,4.89166667,-75.32333333
Kuh-e Genu,2350,27.42583333,56.17250000
Mt. Chiginagak,2111,57.13333333,-156.98611111
Cerro Yerupaja,6617,-10.26888889,-76.90527778
Sulamutag Feng,6245,37.91333333,87.38916667
Gunung Matebeanfeto,2372,-8.64166667,126.59583333
Serrania Guanay,2392,5.76583333,-66.19166667
Noshaq,7492,36.43166667,71.82833333
Volcan San Pedro,6145,-21.88750000,-68.39166667
Gunung Mulu,2376,4.04583333,114.93000000
Pico de São Tomé,2024,0.26750000,6.54333333
Tapuae-o-Ueneku,2884,-41.99583333,173.66250000
Säntis,2503,47.24944444,9.34333333
Kawarani,5992,31.45250000,100.22333333
Bukit Raya,2300,-0.65916667,112.68833333
Volcan Socompa,6051,-24.39583333,-68.24583333
High Peak,2037,15.48166667,120.12083333
Mt. Valpy,2219,54.27500000,-129.05638889
Guge,3568,6.19750000,37.38083333
Cerro Paine Grande,2700,-51.00750000,-73.09583333
Athos,2030,40.15888889,24.32833333
Cordillera del Condor HP,2950,-3.29500000,-78.32500000
Perserajoq,2259,71.40000000,-51.96666667
Kuh-e Belandtarin,6286,37.14583333,73.21500000
Mt. Edith Cavell,3363,52.66666667,-118.05000000
Pegunungan Gauttier,2230,-2.57083333,138.67416667
Pico Turquino,2005,19.99000000,-76.83666667
Cerro Norte,2950,-49.75833333,-73.02388889
Gora DykhTau,5205,43.05250000,43.13500000
Alsek Peak,2716,60.03222222,-137.59055556
